"","X","X.Network","Station","Channel","Latitude","Longitude","Elevation","Depth","StartTime","EndTime","Xcoord","Ycoord","Start_date","End_date"
"1",54,"NL","171","BLE",51.03544,5.86908,35,0,"27/01/2006 00:00","25/11/2011 00:00",188801.1584,338537.6149,2006-01-27,2011-11-25
"4",57,"NL","1979","BHE",50.9708,5.9268,80,0,"10/03/2009 00:00","28/11/2014 00:00",192902.9179,331374.8651,2009-03-10,2014-11-28
"62",122,"NL","BING","BHE",50.9708,5.9268,80,0,"27/11/2014 00:00","31/12/2599 23:59",192902.9179,331374.8651,2014-11-27,2599-12-31
"7",60,"NL","1980","BHE",50.8,5.9727,154,0,"10/03/2009 00:00","17/04/2015 00:00",196279.0636,312398.6162,2009-03-10,2015-04-17
"10",63,"NL","1982","BHE",50.86939,6.08469,145,0,"10/12/2007 00:00","17/04/2015 00:00",204100.8776,320187.1955,2007-12-10,2015-04-17
"1414",2550,"NL","ROLD","BHE",50.86939,6.08469,145,0,"16/04/2015 00:00","31/12/2599 23:59",204100.8776,320187.1955,2015-04-16,2599-12-31
"13",68,"NL","ALK1","HGZ",52.633821,4.744356,1,0,"19/11/2019 00:00","31/12/2599 23:59",111480.1663,516450.4242,2019-11-19,2599-12-31
"16",71,"NL","ALK2","HGZ",52.65104,4.723407,-1,0,"24/07/2019 00:00","31/12/2599 23:59",110079.5639,518379.1614,2019-07-24,2599-12-31
"19",74,"NL","ANDK","HGZ",52.747514,5.216375,-1.8,0,"12/05/2023 00:00","31/12/2599 23:59",143464.8381,528921.6591,2023-05-12,2599-12-31
"22",75,"NL","ARCN","BHE",51.5013,6.1942,0,0,"23/05/2018 00:00","31/12/2599 23:59",211032.8539,390563.569,2018-05-23,2599-12-31
"25",80,"NL","ASS1","HGZ",52.977799,6.557414,9.5,0,"14/04/2020 00:00","31/12/2599 23:59",233599.3342,555171.2852,2020-04-14,2599-12-31
"28",83,"NL","ASS2","HGZ",53.01428,6.570557,12,0,"24/04/2020 00:00","31/12/2599 23:59",234415.4552,559244.9854,2020-04-24,2599-12-31
"31",86,"NL","BAPP","HGE",53.31482,6.83539,0,0,"07/10/2013 00:00","31/12/2599 23:59",251514.8103,593010.9562,2013-10-07,2599-12-31
"35",95,"NL","BBER","HGE",52.661427,4.7045,2,0,"04/12/2017 00:00","21/05/2019 00:00",108811.0289,519546.8165,2017-12-04,2019-05-21
"38",100,"NL","BER1","HGZ",52.661396,4.703678,1,0,"18/11/2019 00:00","31/12/2599 23:59",108755.3844,519543.8925,2019-11-18,2599-12-31
"41",103,"NL","BER2","HGZ",52.6478,4.714988,-1,0,"25/07/2019 00:00","31/12/2599 23:59",109506.4958,518023.9137,2019-07-25,2599-12-31
"44",104,"NL","BFB2","HGE",53.18751,6.76549,1,0,"17/09/2014 00:00","31/12/2599 23:59",247127.8895,578752.8488,2014-09-17,2599-12-31
"47",107,"NL","BGAR","HGE",53.36786,6.71359,1,0,"17/09/2014 00:00","01/01/2017 00:00",243289.2751,598756.8534,2014-09-17,2017-01-01
"48",108,"NL","BGAR","HGE",53.36786,6.71359,1,0,"01/01/2017 00:00","15/12/2017 09:01",243289.2751,598756.8534,2017-01-01,2017-12-15
"49",109,"NL","BGAR","HGE",53.36786,6.71359,1,0,"15/12/2017 09:01","31/12/2599 23:59",243289.2751,598756.8534,2017-12-15,2599-12-31
"56",116,"NL","BHAR","HGE",53.22916,6.70898,1,0,"17/09/2014 00:00","22/01/2022 00:00",243265.8689,583316.7192,2014-09-17,2022-01-22
"59",119,"NL","BHKS","HGE",53.29195,6.78502,1,0,"17/09/2014 00:00","31/12/2599 23:59",248207.606,590399.6553,2014-09-17,2599-12-31
"65",125,"NL","BKMZ","HGE",53.290115,6.318887,2,0,"08/12/2015 00:00","31/12/2599 23:59",217129.5439,589692.5309,2015-12-08,2599-12-31
"68",130,"NL","BLIJE","HGZ",53.360325,5.84921,1.2,0,"18/02/2021 00:00","31/12/2599 23:59",185759.1642,597203.1599,2021-02-18,2599-12-31
"71",131,"NL","BLOP","HGE",53.33391,6.74663,1,0,"23/09/2013 00:00","31/12/2599 23:59",245559.7439,595019.9156,2013-09-23,2599-12-31
"74",134,"NL","BMD1","HGE",53.34726,6.64225,2,0,"11/09/2013 00:00","11/03/2014 05:16",238580.939,596379.2337,2013-09-11,2014-03-11
"77",137,"NL","BMD2","HGE",53.35325,6.6472,0,0,"10/09/2013 00:00","05/12/2019 14:10",238898.8933,597051.5785,2013-09-10,2019-12-05
"78",138,"NL","BMD2","HGE",53.35325,6.6472,0,0,"05/12/2019 14:10","31/12/2599 23:59",238898.8933,597051.5785,2019-12-05,2599-12-31
"83",3473,"NL","BNHLT","BHE",50.791068,5.814136,186,0,"16/03/2023 00:00","31/12/2599 23:59",185105.87,311327.6363,2023-03-16,2599-12-31
"89",3489,"NL","BNHLT","BHZ",50.791068,5.814136,186,200,"22/09/2023 00:00","31/12/2599 23:59",185105.87,311327.6363,2023-09-22,2599-12-31
"91",143,"NL","BONL","HGE",53.40014,6.75483,1,0,"19/09/2013 00:00","23/08/2015 00:00",245965.8504,602400.4268,2013-09-19,2015-08-23
"94",146,"NL","BOWW","HGE",53.34053,6.8125,1,0,"01/10/2013 00:00","31/12/2599 23:59",249932.7742,595841.4772,2013-10-01,2599-12-31
"97",149,"NL","BRSW","HGE",52.842316,7.032279,12.5,0,"28/02/2019 00:00","31/12/2599 23:59",265834.8797,540719.9262,2019-02-28,2599-12-31
"100",154,"NL","BRTL","HGZ",53.237996,6.393218,-0.1,0,"20/05/2022 00:00","31/12/2599 23:59",222167.1711,583959.2347,2022-05-20,2599-12-31
"103",155,"NL","BSTD","HGE",53.312297,6.692137,1,0,"17/09/2014 00:00","11/06/2015 00:00",241973.5175,592547.6047,2014-09-17,2015-06-11
"104",156,"NL","BSTD","HGE",53.312297,6.692137,1,0,"11/06/2015 00:00","07/10/2015 12:25",241973.5175,592547.6047,2015-06-11,2015-10-07
"105",157,"NL","BSTD","HGE",53.312297,6.692137,1,0,"07/10/2015 12:25","23/10/2015 11:03",241973.5175,592547.6047,2015-10-07,2015-10-23
"106",158,"NL","BSTD","HGE",53.312297,6.692137,1,0,"23/10/2015 11:03","05/12/2019 13:00",241973.5175,592547.6047,2015-10-23,2019-12-05
"107",167,"NL","BSTD","HGE",53.31215,6.692101,1,0,"05/12/2019 13:00","31/12/2599 23:59",241971.4148,592531.203,2019-12-05,2599-12-31
"118",170,"NL","BUHZ","HGE",53.40704,6.67266,2,0,"07/10/2013 00:00","06/12/2019 00:00",240487.1078,603067.5024,2013-10-07,2019-12-06
"121",173,"NL","BWIN","HGE",53.3112,6.74837,1,0,"17/09/2014 00:00","07/12/2019 00:00",245723.4446,592494.9436,2014-09-17,2019-12-07
"124",176,"NL","BWIR","HGE",53.32257,6.7861,0,0,"24/09/2013 00:00","31/12/2599 23:59",248213.3896,593808.3977,2013-09-24,2599-12-31
"127",179,"NL","BWSE","HGE",53.34442,6.70989,1,0,"24/04/2013 00:00","31/12/2599 23:59",243090.9595,596143.8737,2013-04-24,2599-12-31
"130",182,"NL","BZN1","HGE",53.36567,6.77512,1,0,"24/10/2013 00:00","01/01/2017 00:00",247389.306,598590.4013,2013-10-24,2017-01-01
"131",183,"NL","BZN1","HGE",53.36567,6.77512,1,0,"01/01/2017 00:00","15/12/2017 09:03",247389.306,598590.4013,2017-01-01,2017-12-15
"132",184,"NL","BZN1","HGE",53.36567,6.77512,1,0,"15/12/2017 09:03","02/03/2019 00:00",247389.306,598590.4013,2017-12-15,2019-03-02
"139",191,"NL","BZN2","HGE",53.35683,6.75474,1,0,"23/09/2013 00:00","01/06/2020 00:00",246051.4828,597580.6998,2013-09-23,2020-06-01
"154",206,"NL","CHA5","HHE",51.5043,4.9212,20,141,"03/07/2011 00:00","25/05/2018 00:00",122645.6832,390690.3308,2011-07-03,2018-05-25
"157",232,"NL","COE","HGZ",52.66055,6.783616,9.7,0,"28/05/2019 00:00","31/12/2599 23:59",249473.9985,520143.7901,2019-05-28,2599-12-31
"160",235,"NL","COE2","HGZ",52.632783,6.705706,8.9,0,"09/03/2020 00:00","31/12/2599 23:59",244259.7709,516955.4984,2020-03-09,2599-12-31
"163",238,"NL","COE3","HGZ",52.670353,6.652457,9.9,0,"28/08/2020 00:00","31/12/2599 23:59",240582.031,521071.1257,2020-08-28,2599-12-31
"166",241,"NL","COE4","HGZ",52.659759,6.745131,10.7,0,"26/06/2020 00:00","31/12/2599 23:59",246872.1717,520006.1861,2020-06-26,2599-12-31
"169",243,"NL","CTSN","HGZ",50.7592,5.9403,151,1,"15/11/2022 12:30","31/12/2599 23:59",194029.1159,307841.9348,2022-11-15,2599-12-31
"170",246,"NL","DBLS","HGZ",52.839142,6.049736,2.4,0,"17/09/2020 00:00","31/12/2599 23:59",199642.7065,539308.9107,2020-09-17,2599-12-31
"173",247,"NL","DBN","BHE",52.1017,5.1767,3,0,"25/11/1997 00:00","30/06/2018 23:59",140577.1344,457071.562,1997-11-25,2018-06-30
"174",250,"NL","DBN","BHE",52.1017,5.1767,3,0,"01/07/2018 00:00","31/12/2599 23:59",140577.1344,457071.562,2018-07-01,2599-12-31
"186",291,"NL","DBN04","HGZ",52.098707,5.176786,3,1,"11/11/2021 14:26","31/10/2022 08:00",140582.0621,456738.5467,2021-11-11,2022-10-31
"187",306,"NL","DBN08","HGZ",52.0985679,5.1766855,2,1,"11/04/2022 10:24","14/04/2022 15:40",140575.131,456723.0905,2022-04-11,2022-04-14
"188",307,"NL","DBN08","HGZ",52.098689,5.176773,2,1,"14/04/2022 15:40","14/11/2022 12:30",140581.1656,456736.5466,2022-04-14,2022-11-14
"189",316,"NL","DOK","HGZ",53.32729,5.985255,0.6,0,"30/09/2021 00:00","31/12/2599 23:59",194847.1947,593593.3589,2021-09-30,2599-12-31
"192",319,"NL","DON","HGZ",53.100493,6.542946,6.7,0,"25/01/2021 00:00","31/12/2599 23:59",232408.7911,568808.2152,2021-01-25,2599-12-31
"201",334,"NL","DR014","HHZ",52.7987,6.178458,1.7,200,"25/06/2018 00:00","31/12/2599 23:59",208365.3586,534896.1719,2018-06-25,2599-12-31
"208",349,"NL","DR024","HHZ",52.703377,6.508147,11.2,200,"20/06/2019 00:00","31/12/2599 23:59",230764.4554,524584.385,2019-06-20,2599-12-31
"215",364,"NL","DR034","HHZ",52.897564,6.308405,8.6,200,"04/05/2020 00:00","31/12/2599 23:59",216988.8571,546000.7795,2020-05-04,2599-12-31
"216",367,"NL","DRA","HGZ",53.120205,6.103262,1.4,0,"23/03/2020 00:00","31/12/2599 23:59",202938.8481,570619.4275,2020-03-23,2599-12-31
"219",370,"NL","DVR","HGZ",52.847766,6.31267,5.2,0,"15/03/2023 00:00","31/12/2599 23:59",217346.884,540463.3375,2023-03-15,2599-12-31
"222",373,"NL","EETW","HGZ",53.334777,6.105404,0.1,0,"14/04/2020 00:00","31/12/2599 23:59",202844.0971,594499.7994,2020-04-14,2599-12-31
"225",376,"NL","ELE","HGZ",52.956616,6.577619,12.3,0,"11/01/2019 00:00","31/12/2599 23:59",234995.2518,552836.4452,2019-01-11,2599-12-31
"255",404,"NL","ENM4","HHE",53.4064,6.4817,1,200,"12/04/1995 00:00","22/01/2010 00:00",227789.4307,602786.1875,1995-04-12,2010-01-22
"256",407,"NL","ENM4","HHE",53.4064,6.4817,1,200,"22/01/2010 00:00","04/05/2016 09:00",227789.4307,602786.1875,2010-01-22,2016-05-04
"257",410,"NL","ENM4","HHE",53.4064,6.4817,1,200,"04/05/2016 09:00","31/12/2599 23:59",227789.4307,602786.1875,2016-05-04,2599-12-31
"291",441,"NL","ENV4","HHE",52.8944,6.6337,17,200,"20/06/1995 00:00","04/12/2009 00:00",238883.1958,545977.4262,1995-06-20,2009-12-04
"292",444,"NL","ENV4","HHE",52.8944,6.6337,17,200,"04/12/2009 00:00","16/06/2016 07:00",238883.1958,545977.4262,2009-12-04,2016-06-16
"293",447,"NL","ENV4","HHE",52.8944,6.6337,17,200,"16/06/2016 07:00","31/12/2599 23:59",238883.1958,545977.4262,2016-06-16,2599-12-31
"300",453,"NL","EVK","HGZ",53.079679,6.811594,2.1,0,"25/03/2022 00:00","31/12/2599 23:59",250446.495,566814.2771,2022-03-25,2599-12-31
"312",475,"NL","FDG4","HHE",53.2562,5.5481,1,120,"13/10/2009 00:00","31/12/2599 23:59",165737.8339,585527.958,2009-10-13,2599-12-31
"315",480,"NL","FDKD","HGZ",52.848339,6.17885,5.9,0,"10/11/2020 00:00","31/12/2599 23:59",208331.2417,540419.8946,2020-11-10,2599-12-31
"324",495,"NL","FR014","HHZ",53.142396,5.886762,-0.5,200,"14/06/2019 00:00","31/12/2599 23:59",188427.5612,572966.7004,2019-06-14,2599-12-31
"331",510,"NL","FR024","HHZ",52.855913,5.930424,-0.7,200,"14/06/2019 00:00","31/12/2599 23:59",191589.281,541107.9775,2019-06-14,2599-12-31
"338",525,"NL","FR034","HHZ",52.981469,5.712568,-0.9,200,"14/06/2019 00:00","31/12/2599 23:59",176852.3352,554991.4269,2019-06-14,2599-12-31
"345",540,"NL","FR044","HHZ",52.876061,6.118717,2.1,200,"04/05/2020 00:00","31/12/2599 23:59",204249.0625,543461.8982,2020-05-04,2599-12-31
"349",552,"NL","FR054","HHZ",53.070481,5.868517,-0.5,200,"04/05/2020 00:00","31/12/2599 23:59",187260.1668,564955.3872,2020-05-04,2599-12-31
"356",567,"NL","FR064","HHZ",53.00074,6.02367,-0.5,200,"04/05/2020 00:00","31/12/2599 23:59",197727.7503,557275.203,2020-05-04,2599-12-31
"357",570,"NL","FRB2","HGZ",53.1875,6.7655,0,1,"22/03/2006 00:00","17/09/2014 00:00",247128.5791,578751.7489,2006-03-22,2014-09-17
"405",616,"NL","FSW5","HHE",53.2135,7.1195,1,300,"05/05/1996 00:00","29/04/2010 00:00",270718.3552,582155.5351,1996-05-05,2010-04-29
"406",619,"NL","FSW5","HHE",53.2135,7.1195,1,300,"29/04/2010 00:00","14/06/2016 08:00",270718.3552,582155.5351,2010-04-29,2016-06-14
"407",622,"NL","FSW5","HHE",53.2135,7.1195,1,300,"14/06/2016 08:00","31/12/2599 23:59",270718.3552,582155.5351,2016-06-14,2599-12-31
"408",625,"NL","FSW5","HHE",53.2135,7.1195,1,300,"22/07/1992 00:00","05/05/1996 00:00",270718.3552,582155.5351,1992-07-22,1996-05-05
"424",652,"NL","G014","HHZ",53.442535,6.731191,2,200,"10/02/2015 00:00","31/12/2599 23:59",244305.4946,607088.675,2015-02-10,2599-12-31
"431",667,"NL","G024","HHZ",53.44901,6.805842,2,200,"10/02/2015 00:00","31/12/2599 23:59",249251.2727,607904.5123,2015-02-10,2599-12-31
"438",682,"NL","G034","HHZ",53.415886,6.597559,2,200,"10/02/2015 00:00","31/12/2599 23:59",235476.4038,603965.2932,2015-02-10,2599-12-31
"445",697,"NL","G044","HHZ",53.41469,6.67472,2,200,"04/06/2015 00:00","31/12/2599 23:59",240608.8552,603921.2802,2015-06-04,2599-12-31
"452",712,"NL","G054","HHZ",53.418438,6.771304,2,200,"16/07/2015 00:00","31/12/2599 23:59",247022.3198,604457.6339,2015-07-16,2599-12-31
"459",727,"NL","G064","HHZ",53.411095,6.870878,2,200,"15/09/2015 00:00","31/12/2599 23:59",253658.7603,603772.4765,2015-09-15,2599-12-31
"466",742,"NL","G074","HHZ",53.39458,6.545769,2,200,"24/09/2015 00:00","31/12/2599 23:59",232071.2868,601537.5097,2015-09-24,2599-12-31
"473",757,"NL","G084","HHZ",53.395447,6.643896,2,200,"22/09/2015 00:00","31/12/2599 23:59",238596.8795,601743.5748,2015-09-22,2599-12-31
"480",772,"NL","G094","HHZ",53.387764,6.724525,2,200,"18/09/2015 00:00","31/12/2599 23:59",243975.9185,600985.2909,2015-09-18,2599-12-31
"487",787,"NL","G104","HHZ",53.37847,6.804435,2,200,"08/09/2015 00:00","31/12/2599 23:59",249312.4841,600052.8303,2015-09-08,2599-12-31
"494",802,"NL","G114","HHZ",53.366917,6.889139,2,200,"08/12/2015 00:00","31/12/2599 23:59",254975.5727,598881.5835,2015-12-08,2599-12-31
"501",817,"NL","G124","HHZ",53.36992,6.57139,2,200,"05/10/2017 00:00","31/12/2599 23:59",233820.7458,598820.9625,2017-10-05,2599-12-31
"508",832,"NL","G134","HHZ",53.34894,6.668564,2,200,"22/09/2015 00:00","31/12/2599 23:59",240329.8901,596597.0715,2015-09-22,2599-12-31
"515",847,"NL","G144","HHZ",53.358604,6.770835,2,200,"11/02/2015 00:00","31/12/2599 23:59",247119.2125,597798.5977,2015-02-11,2599-12-31
"522",862,"NL","G164","HHZ",53.338528,6.531397,2,200,"17/09/2015 00:00","31/12/2599 23:59",231214.4728,595284.4279,2015-09-17,2599-12-31
"529",877,"NL","G174","HHZ",53.336197,6.636346,2,200,"29/04/2015 00:00","31/12/2599 23:59",238209.1548,595141.2719,2015-04-29,2599-12-31
"536",892,"NL","G184","HHZ",53.330624,6.721702,2,200,"18/09/2015 00:00","31/12/2599 23:59",243906.0488,594623.1669,2015-09-18,2599-12-31
"543",907,"NL","G194","HHZ",53.337814,6.817032,2,200,"18/09/2015 00:00","31/12/2599 23:59",250240.6091,595545.2317,2015-09-18,2599-12-31
"550",922,"NL","G204","HHZ",53.335297,6.895165,2,200,"28/05/2015 00:00","31/12/2599 23:59",255450.3925,595371.375,2015-05-28,2599-12-31
"557",937,"NL","G214","HHZ",53.313374,6.593737,2,200,"17/09/2015 00:00","31/12/2599 23:59",235413.6028,592553.0377,2015-09-17,2599-12-31
"564",952,"NL","G224","HHZ",53.31035,6.677621,2,200,"10/02/2015 00:00","31/12/2599 23:59",241009.9848,592313.4984,2015-02-10,2599-12-31
"953",1744,"NL","G81B","LCE",53.31035,6.677621,-0.4,100,"29/08/2018 00:00","31/12/2599 23:59",241009.9848,592313.4984,2018-08-29,2599-12-31
"571",967,"NL","G234","HHZ",53.30949,6.767527,2,200,"16/02/2015 00:00","31/12/2599 23:59",247003.8257,592328.9726,2015-02-16,2599-12-31
"578",982,"NL","G244","HHZ",53.289974,6.856169,2,200,"12/11/2014 00:00","31/12/2599 23:59",252955.9283,590274.2394,2014-11-12,2599-12-31
"585",997,"NL","G254","HHZ",53.308117,6.943312,2,200,"12/05/2017 00:00","31/12/2599 23:59",258722.6842,592415.1863,2017-05-12,2599-12-31
"592",1012,"NL","G264","HHZ",53.28208,6.545806,2,200,"22/10/2015 00:00","31/12/2599 23:59",232275.3181,589018.0716,2015-10-22,2599-12-31
"599",1027,"NL","G274","HHZ",53.28318,6.628118,2,200,"27/11/2015 00:00","31/12/2599 23:59",237762.8192,589231.9711,2015-11-27,2599-12-31
"606",1042,"NL","G284","HHZ",53.27221,6.729164,2,200,"28/03/2016 00:00","31/12/2599 23:59",244524.3302,588132.1396,2016-03-28,2599-12-31
"613",1057,"NL","G294","HHZ",53.281406,6.786966,2,200,"22/09/2015 00:00","31/12/2599 23:59",248360.1713,589228.8659,2015-09-22,2599-12-31
"620",1072,"NL","G304","HHZ",53.27917,6.895145,2,200,"23/10/2014 00:00","31/12/2599 23:59",255579.9145,589125.7619,2014-10-23,2599-12-31
"627",1089,"NL","G314","HHZ",53.296196,7.021759,-0.4,200,"27/11/2015 00:00","04/08/2020 20:29",263981.0995,591204.5951,2015-11-27,2020-08-04
"628",1090,"NL","G314","HHZ",53.296196,7.021759,-0.4,200,"26/08/2021 11:39","31/12/2599 23:59",263981.0995,591204.5951,2021-08-26,2599-12-31
"635",1105,"NL","G324","HHZ",53.24981,6.57919,2,200,"27/11/2015 00:00","31/12/2599 23:59",234561.2514,585463.3871,2015-11-27,2599-12-31
"642",1120,"NL","G334","HHZ",53.24991,6.670763,2,200,"22/01/2016 00:00","31/12/2599 23:59",240672.8336,585579.5799,2016-01-22,2599-12-31
"649",1135,"NL","G344","HHZ",53.25252,6.76508,2,200,"23/10/2014 00:00","31/12/2599 23:59",246962.0795,585986.3499,2014-10-23,2599-12-31
"656",1150,"NL","G354","HHZ",53.254936,6.862136,2,200,"04/04/2017 00:00","31/12/2599 23:59",253433.671,586383.5079,2017-04-04,2599-12-31
"663",1165,"NL","G364","HHZ",53.26505,6.924454,2,200,"07/12/2015 00:00","31/12/2599 23:59",257568.1765,587595.918,2015-12-07,2599-12-31
"670",1180,"NL","G374","HHZ",53.273952,7.035,2,200,"02/12/2015 00:00","31/12/2599 23:59",264920.4732,588749.5934,2015-12-02,2599-12-31
"677",1195,"NL","G384","HHZ",53.200512,6.547563,2,200,"11/04/2016 00:00","31/12/2599 23:59",232538.7673,579943.0264,2016-04-11,2599-12-31
"684",1210,"NL","G394","HHZ",53.22525,6.724121,2,200,"24/10/2014 00:00","31/12/2599 23:59",244284.9564,582900.2906,2014-10-24,2599-12-31
"957",1768,"NL","G82B","LCE",53.22525,6.724121,-1.9,100,"14/08/2018 00:00","31/12/2599 23:59",244284.9564,582900.2906,2018-08-14,2599-12-31
