OBJECTID,WGS84_LAT,WGS84_LON,RD_X,RD_Y,NETWORK,STATION,LOCATION,TYPE,START_DATE
474,51.501300,6.194200,"211,033","390,564",NL,ARCN,Arcen,broadband,23/5/2018
19,53.314800,6.835400,"251,515","593,011",NL,BAPP,Appingedam,accelerometer,7/10/2013
411,52.661400,4.704500,"108,811","519,544",NL,BBER,Bergen,accelerometer,4/12/2017
22,53.187500,6.765500,"247,128","578,753",NL,BFB2,Froombosch2,accelerometer,17/9/2014
620,53.367900,6.713600,"243,289","598,757",NL,BGAR,Garsthuizen,accelerometer,17/9/2014
404,53.291900,6.785000,"248,207","590,399",NL,BHKS,Hoeksmeer,accelerometer,17/9/2014
422,50.970800,5.926800,"192,903","331,375",NL,BING,Bingelrade,broadband,27/11/2014
407,53.290100,6.318900,"217,129","589,692",NL,BKMZ,Kommerzijl,accelerometer,8/12/2015
502,53.333900,6.746600,"245,560","595,020",NL,BLOP,Loppersum,accelerometer,23/9/2013
618,53.353200,6.647200,"238,899","597,051",NL,BMD2,Middelstum 2,accelerometer,10/9/2013
505,53.340500,6.812500,"249,933","595,841",NL,BOWW,Oosterwijterd,accelerometer,1/10/2013
405,53.312300,6.692100,"241,973","592,547",NL,BSTD,Stedum,accelerometer,17/9/2014
504,53.322600,6.786100,"248,213","593,808",NL,BWIR,Wirdum,accelerometer,24/9/2013
617,53.344400,6.709900,"243,091","596,144",NL,BWSE,Westeremden,accelerometer,24/4/2013
376,51.504300,4.921200,"122,646","390,690",NL,CHA0,Chaam,borehole,3/7/2011
203,51.504300,4.921200,"122,646","390,690",NL,CHA1,Chaam niveau 1,,
626,51.504300,4.921200,"122,646","390,690",NL,CHA2,Chaam niveau 2,,
102,51.504300,4.921200,"122,646","390,690",NL,CHA3,Chaam niveau 3,,
559,51.504300,4.921200,"122,646","390,690",NL,CHA4,Chaam niveau 4,,
15,51.504300,4.921200,"122,646","390,690",NL,CHA5,Chaam niveau 5,,
31,52.101700,5.176700,"140,577","457,072",NL,DB,De Bilt,broadband,25/11/1997
3,52.101700,5.176700,"140,577","457,072",NL,DBN,"De Bilt, Netherlands",,
475,52.798700,6.178500,"208,368","534,896",NL,DR01,Kallenkote,borehole,25/6/2018
589,52.798700,6.178458,"208,365","534,896",NL,DR010,Kallenkote,,
483,52.798700,6.178458,"208,365","534,896",NL,DR011,Kallenkote,,
587,52.798700,6.178458,"208,365","534,896",NL,DR012,Kallenkote,,
586,52.798700,6.178458,"208,365","534,896",NL,DR013,Kallenkote,,
588,52.798700,6.178458,"208,365","534,896",NL,DR014,Kallenkote,,
428,52.956600,6.577600,"234,994","552,835",NL,ELE,Eleveld,accelerometer,1/11/2019
42,53.406400,6.481700,"227,789","602,786",NL,ENM0,Eenrum (Westernielan,borehole,12/4/1995
602,53.406400,6.481700,"227,789","602,786",NL,ENM1,Eenrum (Westernielan,,
601,53.406400,6.481700,"227,789","602,786",NL,ENM2,Eenrum (Westernielan,,
299,53.406400,6.481700,"227,789","602,786",NL,ENM3,Eenrum (Westernielan,,
337,53.406400,6.481700,"227,789","602,786",NL,ENM4,Eenrum (Westernielan,,
32,52.894400,6.633700,"238,883","545,977",NL,ENV0,Elp (Enerveen),borehole,9/9/1995
635,52.894400,6.633700,"238,883","545,977",NL,ENV1,Elp (Enerveen) nivea,,
237,52.894400,6.633700,"238,883","545,977",NL,ENV2,Elp (Enerveen) nivea,,
111,52.894400,6.633700,"238,883","545,977",NL,ENV3,Elp (Enerveen) nivea,,
569,52.894400,6.633700,"238,883","545,977",NL,ENV4,Elp (Enerveen) nivea,,
387,53.256200,5.548100,"165,738","585,528",NL,FDG0,Firdgum,borehole,13/10/2009
261,53.256200,5.548100,"165,738","585,528",NL,FDG1,Firdgum niveau 1,,
112,53.256200,5.548100,"165,738","585,528",NL,FDG2,Firdgum niveau 2,,
316,53.256200,5.548100,"165,738","585,528",NL,FDG3,Firdgum niveau 3,,
210,53.256200,5.548100,"165,738","585,528",NL,FDG4,Firdgum niveau 4,,
35,53.213500,7.119500,"270,718","582,156",NL,FSW0,Finsterwolde,borehole,5/5/1995
325,53.213500,7.119500,"270,718","582,156",NL,FSW1,Finsterwolde niveau,,
249,53.213500,7.119500,"270,718","582,156",NL,FSW2,Finsterwolde niveau,,
532,53.213500,7.119500,"270,718","582,156",NL,FSW3,Finsterwolde niveau,,
275,53.213500,7.119500,"270,718","582,156",NL,FSW4,Finsterwolde niveau,,
577,53.213500,7.119500,"270,718","582,156",NL,FSW5,Finsterwolde niveau,,
479,53.442600,6.731200,"244,303","607,093",NL,G010,Uithuizermeeden,borehole,10/2/2015
324,53.442535,6.731191,"244,305","607,089",NL,G011,Uithuizermeeden (niv,,
637,53.442535,6.731191,"244,305","607,089",NL,G012,Uithuizermeeden (niv,,
543,53.442535,6.731191,"244,305","607,089",NL,G013,Uithuizermeeden (niv,,
195,53.442535,6.731191,"244,305","607,089",NL,G014,Uithuizermeeden (niv,,
480,53.449000,6.805800,"249,249","607,905",NL,G020,Eemshaven,borehole,10/2/2015
281,53.449010,6.805842,"249,251","607,905",NL,G021,Eemshaven (niveau 1),,
121,53.449010,6.805842,"249,251","607,905",NL,G022,Eemshaven (niveau 2),,
642,53.449010,6.805842,"249,251","607,905",NL,G023,Eemshaven (niveau 3),,
597,53.449010,6.805842,"249,251","607,905",NL,G024,Eemshaven (niveau 4),,
162,53.415900,6.597500,"235,475","603,966",NL,G030,Usquert,borehole,10/2/2015
644,53.415886,6.597559,"235,476","603,965",NL,G031,Usquert (niveau 1),,
247,53.415886,6.597559,"235,476","603,965",NL,G032,Usquert (niveau 2),,
4,53.415886,6.597559,"235,476","603,965",NL,G033,Usquert (niveau 3),,
572,53.415886,6.597559,"235,476","603,965",NL,G034,Usquert (niveau 4),,
163,53.414700,6.674700,"240,608","603,921",NL,G040,Uithuizen,borehole,4/6/2015
122,53.414690,6.674720,"240,609","603,921",NL,G041,Uithuizen (niveau 1),,
107,53.414690,6.674720,"240,609","603,921",NL,G042,Uithuizen (niveau 2),,
216,53.414690,6.674720,"240,609","603,921",NL,G043,Uithuizen (niveau 3),,
307,53.414690,6.674720,"240,609","603,921",NL,G044,Uithuizen (niveau 4),,
164,53.418400,6.771300,"247,024","604,457",NL,G050,Roodeschool,borehole,16/7/2015
258,53.418438,6.771304,"247,022","604,458",NL,G051,Roodeschool (niveau,,
103,53.418438,6.771304,"247,022","604,458",NL,G052,Roodeschool (niveau,,
633,53.418438,6.771304,"247,022","604,458",NL,G053,Roodeschool (niveau,,
540,53.418438,6.771304,"247,022","604,458",NL,G054,Roodeschool (niveau,,
165,53.411100,6.870900,"253,659","603,773",NL,G060,Spijk - Vierhuizen,borehole,15/9/2015
251,53.411095,6.870878,"253,659","603,772",NL,G061,Spijk - Vierhuizen (,,
57,53.411095,6.870878,"253,659","603,772",NL,G062,Spijk - Vierhuizen (,,
185,53.411095,6.870878,"253,659","603,772",NL,G063,Spijk - Vierhuizen (,,
223,53.411095,6.870878,"253,659","603,772",NL,G064,Spijk - Vierhuizen (,,
166,53.394600,6.545800,"232,070","601,537",NL,G070,Warffum,borehole,24/9/2015
190,53.394580,6.545769,"232,071","601,538",NL,G071,Warffum (niveau 1),,
60,53.394580,6.545769,"232,071","601,538",NL,G072,Warffum (niveau 2),,
566,53.394580,6.545769,"232,071","601,538",NL,G073,Warffum (niveau 3),,
201,53.394580,6.545769,"232,071","601,538",NL,G074,Warffum (niveau 4),,
167,53.395400,6.643900,"238,596","601,741",NL,G080,Rottum,borehole,22/9/2015
516,53.395447,6.643896,"238,597","601,744",NL,G081,Rottum (niveau 1),,
204,53.395447,6.643896,"238,597","601,744",NL,G082,Rottum (niveau 2),,
345,53.395447,6.643896,"238,597","601,744",NL,G083,Rottum (niveau 3),,
346,53.395447,6.643896,"238,597","601,744",NL,G084,Rottum (niveau 4),,
168,53.387800,6.724600,"243,980","600,985",NL,G090,Oldenzijl,borehole,18/9/2015
574,53.387764,6.724525,"243,976","600,985",NL,G091,Oldenzijl (niveau 1),,
5,53.387764,6.724525,"243,976","600,985",NL,G092,Oldenzijl (niveau 2),,
350,53.387764,6.724525,"243,976","600,985",NL,G093,Oldenzijl (niveau 3),,
273,53.387764,6.724525,"243,976","600,985",NL,G094,Oldenzijl (niveau 4),,
169,53.378500,6.804400,"249,312","600,057",NL,G100,Godlinze,borehole,8/9/2015
625,53.378470,6.804435,"249,312","600,053",NL,G101,Godlinze (niveau 1),,
511,53.378470,6.804435,"249,312","600,053",NL,G102,Godlinze (niveau 2),,
344,53.378470,6.804435,"249,312","600,053",NL,G103,Godlinze (niveau 3),,
270,53.378470,6.804435,"249,312","600,053",NL,G104,Godlinze (niveau 4),,
170,53.366900,6.889200,"254,980","598,880",NL,G110,Holwierde,borehole,8/12/2015
568,53.366917,6.889139,"254,976","598,882",NL,G111,Holwierde (niveau 1),,
100,53.366917,6.889139,"254,976","598,882",NL,G112,Holwierde (niveau 2),,
234,53.366917,6.889139,"254,976","598,882",NL,G113,Holwierde (niveau 3),,
534,53.366917,6.889139,"254,976","598,882",NL,G114,Holwierde (niveau 4),,
171,53.369900,6.571400,"233,822","598,820",NL,G120,Warffum,borehole,5/10/2017
533,53.369920,6.571390,"233,821","598,821",NL,G121,Warffum (niveau 1),,
321,53.369920,6.571390,"233,821","598,821",NL,G122,Warffum (niveau 2),,
517,53.369920,6.571390,"233,821","598,821",NL,G123,Warffum (niveau 3),,
296,53.369920,6.571390,"233,821","598,821",NL,G124,Warffum (niveau 4),,
172,53.349000,6.668600,"240,330","596,599",NL,G130,Middelstum,borehole,22/9/2015
623,53.348940,6.668564,"240,330","596,597",NL,G131,Middelstum (niveau 1,,
298,53.348940,6.668564,"240,330","596,597",NL,G132,Middelstum (niveau 2,,
269,53.348940,6.668564,"240,330","596,597",NL,G133,Middelstum (niveau 3,,
187,53.348940,6.668564,"240,330","596,597",NL,G134,Middelstum (niveau 4,,
173,53.358600,6.770800,"247,120","597,795",NL,G140,t Zandt GN,borehole,11/2/2015
304,53.358604,6.770835,"247,119","597,799",NL,G141,t Zandt GN (niveau 1,,
582,53.358604,6.770835,"247,119","597,799",NL,G142,t Zandt GN (niveau 2,,
244,53.358604,6.770835,"247,119","597,799",NL,G143,t Zandt GN (niveau 3,,
157,53.358604,6.770835,"247,119","597,799",NL,G144,t Zandt GN (niveau 4,,
175,53.338500,6.531400,"231,213","595,282",NL,G160,Winsum,borehole,17/9/2015
624,53.338528,6.531397,"231,214","595,284",NL,G161,Winsum (niveau 1),,
115,53.338528,6.531397,"231,214","595,284",NL,G162,Winsum (niveau 2),,
643,53.338528,6.531397,"231,214","595,284",NL,G163,Winsum (niveau 3),,
530,53.338528,6.531397,"231,214","595,284",NL,G164,Winsum (niveau 4),,
176,53.336200,6.636300,"238,207","595,143",NL,G170,Middelstum,borehole,29/4/2015
6,53.336197,6.636346,"238,209","595,141",NL,G171,Middelstum (niveau 1,,
248,53.336197,6.636346,"238,209","595,141",NL,G172,Middelstum (niveau 2,,
520,53.336197,6.636346,"238,209","595,141",NL,G173,Middelstum (niveau 3,,
72,53.336197,6.636346,"238,209","595,141",NL,G174,Middelstum (niveau 4,,
177,53.330600,6.721700,"243,905","594,623",NL,G180,Loppersum,borehole,18/9/2015
308,53.330624,6.721702,"243,906","594,623",NL,G181,Loppersum (niveau 1),,
180,53.330624,6.721702,"243,906","594,623",NL,G182,Loppersum (niveau 2),,
76,53.330624,6.721702,"243,906","594,623",NL,G183,Loppersum (niveau 3),,
239,53.330624,6.721702,"243,906","594,623",NL,G184,Loppersum (niveau 4),,
178,53.337800,6.817000,"250,240","595,542",NL,G190,Oostwijtwerd,borehole,18/9/2015
86,53.337814,6.817032,"250,241","595,545",NL,G191,Oostwijtwerd (niveau,,
197,53.337814,6.817032,"250,241","595,545",NL,G192,Oostwijtwerd (niveau,,
222,53.337814,6.817032,"250,241","595,545",NL,G193,Oostwijtwerd (niveau,,
348,53.337814,6.817032,"250,241","595,545",NL,G194,Oostwijtwerd (niveau,,
179,53.335300,6.895200,"255,450","595,371",NL,G200,Biessum,borehole,28/5/2015
220,53.335297,6.895165,"255,450","595,371",NL,G201,Biessum (niveau 1),,
606,53.335297,6.895165,"255,450","595,371",NL,G202,Biessum (niveau 2),,
596,53.335297,6.895165,"255,450","595,371",NL,G203,Biessum (niveau 3),,
10,53.335297,6.895165,"255,450","595,371",NL,G204,Biessum (niveau 4),,
284,53.313400,6.593700,"235,413","592,553",NL,G210,Vroetende mol,borehole,17/9/2015
339,53.313374,6.593737,"235,414","592,553",NL,G211,Vroetende mol (nivea,,
199,53.313374,6.593737,"235,414","592,553",NL,G212,Vroetende mol (nivea,,
560,53.313374,6.593737,"235,414","592,553",NL,G213,Vroetende mol (nivea,,
113,53.313374,6.593737,"235,414","592,553",NL,G214,Vroetende mol (nivea,,
285,53.310300,6.677600,"241,007","592,313",NL,G220,Stedum,borehole,10/2/2015
565,53.310350,6.677621,"241,010","592,314",NL,G221,Stedum (niveau 1),,
311,53.310350,6.677621,"241,010","592,314",NL,G222,Stedum (niveau 2),,
134,53.310350,6.677621,"241,010","592,314",NL,G223,Stedum (niveau 3),,
109,53.310350,6.677621,"241,010","592,314",NL,G224,Stedum (niveau 4),,
286,53.309400,6.767500,"247,003","592,324",NL,G230,Garrelsweer,borehole,16/2/2015
127,53.309490,6.767527,"247,004","592,329",NL,G231,Garrelsweer (niveau,,
264,53.309490,6.767527,"247,004","592,329",NL,G232,Garrelsweer (niveau,,
59,53.309490,6.767527,"247,004","592,329",NL,G233,Garrelsweer (niveau,,
507,53.309490,6.767527,"247,004","592,329",NL,G234,Garrelsweer (niveau,,
287,53.290000,6.856200,"252,957","590,273",NL,G240,Steendam,borehole,12/11/2014
119,53.289974,6.856169,"252,956","590,274",NL,G241,Steendam (niveau 1),,
106,53.289974,6.856169,"252,956","590,274",NL,G242,Steendam (niveau 2),,
521,53.289974,6.856169,"252,956","590,274",NL,G243,Steendam (niveau 3),,
209,53.289974,6.856169,"252,956","590,274",NL,G244,Steendam (niveau 4),,
288,53.308100,6.943300,"258,725","592,415",NL,G250,Weiwerd,borehole,12/5/2017
91,53.308117,6.943312,"258,723","592,415",NL,G251,Weiwerd (niveau 1),,
70,53.308117,6.943312,"258,723","592,415",NL,G252,Weiwerd (niveau 2),,
523,53.308117,6.943312,"258,723","592,415",NL,G253,Weiwerd (niveau 3),,
271,53.308117,6.943312,"258,723","592,415",NL,G254,Weiwerd (niveau 4),,
485,53.282100,6.545900,"232,280","589,017",NL,G260,Adorp,borehole,22/10/2015
310,53.282080,6.545806,"232,275","589,018",NL,G261,Adorp (niveau 1),,
335,53.282080,6.545806,"232,275","589,018",NL,G262,Adorp (niveau 2),,
93,53.282080,6.545806,"232,275","589,018",NL,G263,Adorp (niveau 3),,
306,53.282080,6.545806,"232,275","589,018",NL,G264,Adorp (niveau 4),,
486,53.283200,6.628200,"237,767","589,233",NL,G270,Ellerhuizen,borehole,27/11/2015
319,53.283180,6.628118,"237,763","589,232",NL,G271,Ellerhuizen (niveau,,
94,53.283180,6.628118,"237,763","589,232",NL,G272,Ellerhuizen (niveau,,
118,53.283180,6.628118,"237,763","589,232",NL,G273,Ellerhuizen (niveau,,
627,53.283180,6.628118,"237,763","589,232",NL,G274,Ellerhuizen (niveau,,
487,53.272200,6.729200,"244,524","588,128",NL,G280,Woltersum,borehole,28/3/2016
193,53.272210,6.729164,"244,524","588,132",NL,G281,Woltersum (niveau 1),,
272,53.272210,6.729164,"244,524","588,132",NL,G282,Woltersum (niveau 2),,
518,53.272210,6.729164,"244,524","588,132",NL,G283,Woltersum (niveau 3),,
580,53.272210,6.729164,"244,524","588,132",NL,G284,Woltersum (niveau 4),,
488,53.281400,6.787000,"248,362","589,227",NL,G290,Overschild,borehole,22/9/2015
130,53.281406,6.786966,"248,360","589,229",NL,G291,Overschild (niveau 1,,
652,53.281406,6.786966,"248,360","589,229",NL,G292,Overschild (niveau 2,,
212,53.281406,6.786966,"248,360","589,229",NL,G293,Overschild (niveau 3,,
90,53.281406,6.786966,"248,360","589,229",NL,G294,Overschild (niveau 4,,
489,53.279200,6.895200,"255,581","589,124",NL,G300,Meedhuizen,borehole,23/10/2014
548,53.279170,6.895145,"255,580","589,126",NL,G301,Meedhuizen (niveau 1,,
327,53.279170,6.895145,"255,580","589,126",NL,G302,Meedhuizen (niveau 2,,
124,53.279170,6.895145,"255,580","589,126",NL,G303,Meedhuizen (niveau 3,,
133,53.279170,6.895145,"255,580","589,126",NL,G304,Meedhuizen (niveau 4,,
490,53.296200,7.021800,"263,982","591,201",NL,G310,Borgsweer,borehole,27/11/2015
188,53.296196,7.021759,"263,981","591,205",NL,G311,Borgsweer (niveau 1),,
135,53.296196,7.021759,"263,981","591,205",NL,G312,Borgsweer (niveau 2),,
501,53.296196,7.021759,"263,981","591,205",NL,G313,Borgsweer (niveau 3),,
92,53.296196,7.021759,"263,981","591,205",NL,G314,Borgsweer (niveau 4),,
491,53.249800,6.579200,"234,561","585,466",NL,G320,Groningen - Hornbach,borehole,27/11/2015
265,53.249810,6.579190,"234,561","585,463",NL,G321,Groningen - Hornbach,,
280,53.249810,6.579190,"234,561","585,463",NL,G322,Groningen - Hornbach,,
274,53.249810,6.579190,"234,561","585,463",NL,G323,Groningen - Hornbach,,
595,53.249810,6.579190,"234,561","585,463",NL,G324,Groningen - Hornbach,,
492,53.249900,6.670700,"240,671","585,579",NL,G330,Garmerwolde,borehole,22/1/2016
18,53.249910,6.670763,"240,673","585,580",NL,G331,Garmerwolde (niveau,,
